Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
validate,3,867,693,1255,1255,1255,654,1255,0.000%,.02023,0.14,0.03
viewAdminModule,3,694,703,711,711,711,670,711,0.000%,.02031,0.14,0.02
viewPimModule,3,802,832,879,879,879,695,879,0.000%,.02028,0.14,0.02
viewLeaveModule,3,823,884,920,920,920,667,920,0.000%,.02028,0.14,0.02
viewTimeModule,3,876,767,1237,1237,1237,625,1237,0.000%,.02029,0.14,0.02
viewRecruitmentModule,3,773,766,798,798,798,756,798,0.000%,.02036,0.14,0.02
viewMyDetails,3,778,764,890,890,890,682,890,0.000%,.02036,0.14,0.02
viewPerformanceModule,3,985,973,1195,1195,1195,789,1195,0.000%,.02032,0.14,0.02
index,3,1113,982,1716,1716,1716,642,1716,0.000%,.02037,0.14,0.02
viewDirectory,3,890,843,1138,1138,1138,691,1138,0.000%,.02040,0.14,0.02
viewMaintenanceModule,3,1026,843,1453,1453,1453,783,1453,0.000%,.02032,0.14,0.02
adminVerify,3,880,694,1290,1290,1290,656,1290,0.000%,.02034,0.14,0.03
viewClaimModule,3,673,693,705,705,705,622,705,0.000%,.02042,0.14,0.02
viewBuzz,3,1036,1002,1438,1438,1438,670,1438,0.000%,.02042,0.14,0.02
Test,3,12222,11607,13604,13604,13604,11455,13604,0.000%,.01362,1.30,0.21
TOTAL,45,1629,789,1438,11455,13604,622,13604,0.000%,.20425,2.60,0.42
